ward_id,drain_capacity_mm_per_hr,pump_available,pump_capacity_mm_per_hr,drain_condition,infrastructure_age_category
Ward_1,16,No,0,Good,Old
Ward_2,30,Yes,38,Good,Mixed
Ward_3,30,Yes,43,Moderate,Planned
Ward_4,33,No,0,Good,Planned
Ward_5,30,Yes,41,Good,Planned
Ward_6,19,Yes,35,Good,Planned
Ward_7,28,Yes,22,Poor,Mixed
Ward_8,18,Yes,23,Poor,Mixed
Ward_9,18,Yes,21,Moderate,Mixed
Ward_10,16,Yes,27,Good,Old
Ward_11,13,Yes,23,Good,Mixed
Ward_12,19,Yes,48,Poor,Old
Ward_13,11,Yes,55,Moderate,Old
Ward_14,17,Yes,59,Poor,Old
Ward_15,24,No,0,Good,Planned
Ward_16,22,Yes,34,Good,Planned
Ward_17,18,No,0,Good,Planned
Ward_18,20,Yes,27,Moderate,Old
Ward_19,14,No,0,Moderate,Old
Ward_20,18,Yes,53,Good,Mixed
